,ArrDelay,Month,DayOfWeek,AirTime,Distance,TaxiIn,TaxiOut,DepDelay,Diverted,Carrier,Weather,NAS,Security,LateAircraft
1,-7,2,4,244,1814,8,17,0,0,0,0,0,0,0
2,57,11,4,66,413,4,13,79,0,1,0,0,0,1
3,-15,12,2,118,972,8,12,2,0,0,0,0,0,0
4,-4,3,3,73,444,3,8,-3,0,0,0,0,0,0
5,-5,12,7,52,304,6,13,-1,0,0,0,0,0,0
6,19,5,3,88,629,5,12,33,0,1,0,0,0,0
7,-5,12,5,111,758,6,11,1,0,0,0,0,0,0
8,30,1,5,68,308,6,22,9,0,1,0,1,0,0
9,106,12,1,93,675,12,19,97,0,1,0,1,0,0
10,20,3,1,177,1389,4,14,34,0,1,0,0,0,1
11,25,8,1,47,228,40,18,0,0,0,0,1,0,0
12,-4,12,7,58,342,4,12,3,0,0,0,0,0,0
13,46,1,3,42,229,21,21,49,0,0,0,0,0,1
14,7,3,3,64,480,4,10,14,0,0,0,0,0,0
15,112,1,7,170,967,11,40,51,0,1,0,1,0,1
16,8,4,6,180,1235,13,19,-6,0,0,0,0,0,0
17,-25,3,7,132,972,6,11,-9,0,0,0,0,0,0
18,8,1,5,177,1084,8,11,-7,0,0,0,0,0,0
19,-2,6,7,77,399,5,12,-1,0,0,0,0,0,0
20,-6,11,4,31,164,2,19,-1,0,0,0,0,0,0
21,-17,2,4,116,957,5,27,0,0,0,0,0,0,0
22,-22,3,6,53,331,10,9,-4,0,0,0,0,0,0
23,0,4,2,73,499,5,27,-5,0,0,0,0,0,0
24,5,1,5,69,493,9,26,0,0,0,0,0,0,0
25,-3,7,4,276,2136,8,10,-2,0,0,0,0,0,0
26,1,2,2,39,157,23,10,-5,0,0,0,0,0,0
27,-3,8,1,114,762,7,17,-6,0,0,0,0,0,0
28,3,7,4,81,515,7,10,5,0,0,0,0,0,0
29,29,12,1,41,197,3,23,22,0,0,0,1,0,1
30,-11,6,5,89,574,5,20,-11,0,0,0,0,0,0
31,-10,1,7,113,641,12,19,0,0,0,0,0,0,0
32,7,1,4,160,1024,5,36,-4,0,0,0,0,0,0
33,-25,11,1,140,1035,5,10,-6,0,0,0,0,0,0
34,-38,2,1,110,872,9,13,-5,0,0,0,0,0,0
35,-2,8,7,84,625,3,14,10,0,0,0,0,0,0
36,-16,4,4,81,518,7,11,-5,0,0,0,0,0,0
37,-4,11,7,69,589,4,20,-2,0,0,0,0,0,0
38,14,8,2,113,867,7,35,-1,0,0,0,0,0,0
39,24,6,4,139,948,6,27,-1,0,0,0,1,0,0
40,-4,6,1,90,576,8,16,-4,0,0,0,0,0,0
41,-14,8,4,54,337,10,17,-7,0,0,0,0,0,0
42,-10,6,5,200,1417,10,14,-3,0,0,0,0,0,0
43,-9,11,5,54,370,7,21,-5,0,0,0,0,0,0
44,-23,9,3,41,258,5,13,-10,0,0,0,0,0,0
45,3,1,2,28,153,3,32,0,0,0,0,0,0,0
46,-5,2,3,44,164,4,16,-4,0,0,0,0,0,0
47,-14,2,3,66,413,7,14,-6,0,0,0,0,0,0
48,11,7,3,337,2335,8,9,-3,0,0,0,0,0,0
49,-20,9,1,92,631,2,11,-3,0,0,0,0,0,0
50,-9,1,7,52,308,2,6,1,0,0,0,0,0,0
51,54,4,7,35,237,4,18,62,0,0,0,1,0,1
52,-4,11,7,52,356,14,14,-3,0,0,0,0,0,0
53,10,1,3,150,950,6,32,-2,0,0,0,0,0,0
54,-1,8,5,353,2845,4,22,4,0,0,0,0,0,0
55,-12,7,6,150,1171,9,22,-3,0,0,0,0,0,0
56,-5,12,4,133,846,4,13,-3,0,0,0,0,0,0
57,2,6,1,174,1189,10,13,-10,0,0,0,0,0,0
58,25,10,4,55,303,3,7,30,0,1,0,0,0,1
59,-16,3,7,97,762,9,6,-3,0,0,0,0,0,0
60,7,2,5,200,1660,6,20,-3,0,0,0,0,0,0
61,9,10,5,82,370,10,18,0,0,0,0,0,0,0
62,-5,6,2,288,2342,4,16,2,0,0,0,0,0,0
63,8,1,2,58,308,4,19,2,0,0,0,0,0,0
64,-6,10,2,71,429,13,10,-7,0,0,0,0,0,0
65,-2,4,6,136,1045,3,15,-1,0,0,0,0,0,0
66,14,4,7,57,337,5,8,19,0,0,0,0,0,0
67,-16,9,2,31,185,8,17,-7,0,0,0,0,0,0
68,30,4,2,131,836,4,11,24,0,0,0,1,0,1
69,0,6,4,77,493,16,12,-8,0,0,0,0,0,0
70,-8,12,4,48,258,9,22,-11,0,0,0,0,0,0
71,-3,3,4,340,2401,9,25,-8,0,0,0,0,0,0
72,15,3,1,67,541,6,18,25,0,1,0,0,0,0
73,4,8,6,101,775,4,12,12,0,0,0,0,0,0
74,14,5,3,77,391,9,23,-10,0,0,0,0,0,0
75,-10,1,7,90,688,5,8,2,0,0,0,0,0,0
76,-13,5,5,92,606,6,14,4,0,0,0,0,0,0
77,-40,5,4,39,227,4,11,-9,0,0,0,0,0,0
78,15,8,6,95,635,6,20,13,0,1,0,1,0,0
79,19,1,5,41,197,4,10,24,0,1,0,0,0,1
80,-40,5,5,144,1130,8,8,-11,0,0,0,0,0,0
81,-20,8,1,77,576,7,16,-1,0,0,0,0,0,0
82,-18,4,5,125,868,5,7,-5,0,0,0,0,0,0
83,2,1,7,285,2611,9,19,6,0,0,0,0,0,0
84,2,6,3,101,679,4,21,-3,0,0,0,0,0,0
85,-2,4,7,124,834,5,11,-3,0,0,0,0,0,0
86,-23,5,2,218,1864,4,22,-6,0,0,0,0,0,0
87,-9,7,3,68,522,3,15,1,0,0,0,0,0,0
88,-1,2,3,93,528,8,16,-5,0,0,0,0,0,0
89,0,8,7,44,229,6,15,0,0,0,0,0,0,0
90,-1,4,2,95,646,9,5,0,0,0,0,0,0,0
91,3,3,2,75,528,5,12,11,0,0,0,0,0,0
92,4,1,4,80,407,4,12,-2,0,0,0,0,0,0
94,-8,11,1,137,1149,8,15,5,0,0,0,0,0,0
95,3,8,7,54,271,4,11,-1,0,0,0,0,0,0
96,21,12,6,75,528,10,34,25,0,0,0,1,0,0
97,33,1,3,30,185,11,19,35,0,1,0,0,0,0
98,-13,2,4,30,128,18,10,-7,0,0,0,0,0,0
99,-12,11,1,102,690,4,22,0,0,0,0,0,0,0
100,64,1,6,109,574,3,25,43,0,1,0,0,0,0
101,320,3,5,116,1011,5,10,349,0,0,0,0,0,1
102,-16,8,4,179,1426,6,16,3,0,0,0,0,0,0
103,13,9,3,100,599,6,21,-1,0,0,0,0,0,0
104,74,12,3,122,677,17,34,27,0,0,0,1,0,1
105,22,5,4,387,2704,8,21,-10,0,0,0,1,0,0
106,80,7,7,71,431,6,16,92,0,0,0,1,0,0
107,-9,8,2,74,409,6,14,-1,0,0,0,0,0,0
108,-26,8,5,76,516,10,9,-11,0,0,0,0,0,0
109,-1,5,7,63,421,5,22,-10,0,0,0,0,0,0
110,1,3,1,20,100,6,12,0,0,0,0,0,0,0
111,-4,2,3,116,853,2,12,3,0,0,0,0,0,0
112,21,5,6,174,1416,6,15,49,0,1,0,0,0,0
113,12,5,5,195,1263,7,18,-6,0,0,0,0,0,0
114,-2,5,3,239,1959,5,7,2,0,0,0,0,0,0
115,-10,1,4,25,163,4,7,-3,0,0,0,0,0,0
116,-19,10,3,146,1121,9,18,-2,0,0,0,0,0,0
117,0,5,4,98,677,4,16,-3,0,0,0,0,0,0
118,-3,2,6,277,2433,11,10,3,0,0,0,0,0,0
119,39,3,1,203,1340,4,37,22,0,0,0,1,0,1
