State,Area,AreaRank,pop2005,pop2004,pop2000,pop1990,zone
Alabama,52419,30,4558,4525,4447,4040,ESCent
Alaska,663267,1,664,658,627,550,Pacific
Arizona,113998,6,5939,5740,5131,3665,Mountain
Arkansas,53179,29,2779,2750,2673,2351,WSCent
California,163696,3,36132,35842,33872,29811,Pacific
Colorado,104094,8,4665,4602,4302,3294,Mountain
Connecticut,5543,48,3510,3499,3406,3287,NewEngland
Delaware,2489,49,844,830,784,666,SouthAtlantic
District of Columbia,68,(X),551,554,572,607,SouthAtlantic
Florida,65755,22,17790,17385,15983,12938,SouthAtlantic
Georgia,59425,24,9073,8918,8187,6478,SouthAtlantic
Hawaii,10931,43,1275,1262,1212,1108,Pacific
Idaho,83570,14,1429,1395,1294,1007,Mountain
Illinois,57914,25,12763,12712,12420,11431,ENCent
Indiana,36418,38,6272,6227,6081,5544,ENCent
Iowa,56272,26,2966,2953,2926,2777,WNCent
Kansas,82277,15,2745,2734,2689,2478,WNCent
Kentucky,40409,37,4173,4142,4042,3687,ESCent
Louisiana,51840,31,4524,4507,4469,4222,WSCent
Maine,35385,39,1322,1315,1275,1228,NewEngland
Maryland,12407,42,5600,5561,5297,4781,SouthAtlantic
Massachusetts,10555,44,6399,6407,6349,6016,NewEngland
Michigan,96716,11,10121,10104,9938,9295,ENCent
Minnesota,86939,12,5133,5097,4919,4376,WNCent
Mississippi,48430,32,2921,2901,2845,2575,ESCent
Missouri,69704,21,5800,5760,5597,5117,WNCent
Montana,147042,4,936,927,902,799,Mountain
Nebraska,77354,16,1759,1748,1711,1578,WNCent
Nevada,110561,7,2415,2333,1998,1202,Mountain
New Hampshire,9350,46,1310,1299,1236,1109,NewEngland
New Jersey,8721,47,8718,8685,8414,7748,MiddleAtlantic
New Mexico,121590,5,1928,1903,1819,1515,Mountain
New York,54556,27,19255,19281,18977,17991,MiddleAtlantic
North Carolina,53819,28,8683,8540,8046,6632,SouthAtlantic
North Dakota,70700,19,637,636,642,639,WNCent
Ohio,44825,34,11464,11450,11353,10847,ENCent
Oklahoma,69898,20,3548,3524,3451,3146,WSCent
Oregon,98381,9,3641,3591,3421,2842,Pacific
Pennsylvania,46055,33,12430,12394,12281,11883,MiddleAtlantic
Rhode Island,1545,50,1076,1080,1048,1003,NewEngland
South Carolina,32020,40,4255,4198,4012,3486,SouthAtlantic
South Dakota,77117,17,776,771,755,696,WNCent
Tennessee,42143,36,5963,5893,5689,4877,ESCent
Texas,268581,2,22860,22472,20852,16986,WSCent
Utah,84899,13,2470,2421,2233,1723,Mountain
Vermont,9614,45,623,621,609,563,NewEngland
Virginia,42774,35,7567,7481,7079,6189,SouthAtlantic
Washington,71300,18,6288,6207,5894,4867,Pacific
West Virginia,24230,41,1817,1813,1808,1793,SouthAtlantic
Wisconsin,65498,23,5536,5504,5364,4892,WNCent
Wyoming,97814,10,509,506,494,454,Mountain
