"","Team","season","Date","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%"
"1","CBJ","20132014","2014-01-25",2,2,0,77.1,132.5,65.5,5.6,88.9,48.8,94.4,70.6
"2","S.J","20132014","2014-01-29",0,2,-2,76.1,133.9,75.8,0,90.5,50.9,90.5,78
"3","L.A","20112012","2011-12-08",2,3,-1,73.6,142.2,61.9,5.1,82.4,66,87.5,77.4
"4","S.J","20132014","2014-03-11",6,1,5,74,134.5,72.4,14.3,93.8,62.5,108,75
"5","CAR","20142015","2015-04-06",2,4,-2,71.8,113.5,75.8,4.3,84,69.5,88.3,62.5
"6","T.B","20102011","2010-12-10",2,1,1,75.8,112.9,67.3,6.1,88.9,55.6,94.9,62.5
"7","MTL","20122013","2013-03-23",0,1,-1,75.3,112.3,71.1,0,92.9,51.1,92.9,88.9
"8","DET","20112012","2012-01-07",3,2,1,70.4,121.7,60.7,8.1,87.5,55.3,95.6,72.7
"9","CHI","20142015","2014-10-15",0,1,-1,73.3,134.2,83,0,92.3,56.8,92.3,69.2
"10","VAN","20142015","2015-01-30",1,0,1,82.9,99.7,68.3,3.6,100,62.5,103.6,72
"11","TOR","20092010","2009-12-26",2,1,1,69.8,137.8,63.6,4.8,94.1,68.1,98.9,61.5
"12","STL","20092010","2009-12-07",0,3,-3,72.1,110.7,60.3,0,84.2,56.4,84.2,59.3
"13","WSH","20092010","2009-12-11",2,2,0,73.2,116.9,69.6,6.2,81.8,53.3,88.1,81.8
"14","S.J","20142015","2014-11-06",1,2,-1,76.5,99.1,70.5,3.2,88.2,50,91.5,57.5
"15","S.J","20082009","2009-02-28",1,2,-1,69.9,122.7,71.7,2.3,90,57.8,92.3,70
"16","OTT","20122013","2013-04-20",1,3,-2,70.6,126.3,80,2.3,83.3,55.3,85.6,77.1
"17","MTL","20142015","2014-11-29",3,3,0,71,120.3,73.1,7.9,85,73.7,92.9,62.2
"18","MTL","20122013","2013-03-19",2,2,0,73.2,115.7,60.8,6.5,85.7,52.8,92.2,59.4
"19","L.A","20132014","2013-12-03",2,1,1,72.3,134.4,60,6.1,94.1,46.7,100.2,62.1
"20","FLA","20142015","2015-03-15",1,2,-1,67.2,156.9,59.6,2.9,93.3,59.6,96.3,45.9
"21","FLA","20142015","2014-12-04",2,3,-1,73.2,127.4,78,5.1,78.6,64.3,83.7,80
"22","DAL","20142015","2015-03-30",2,2,0,69.9,143.3,55.6,6.7,88.2,66.1,94.9,59.5
"23","DAL","20142015","2015-03-23",3,2,1,68.3,150.3,66,9.7,91.3,60.4,101,51.4
"24","CHI","20092010","2010-01-10",0,1,-1,77.8,102.6,75.5,0,87.5,56.4,87.5,72.4
"25","WPG","20142015","2015-01-31",2,1,1,71.2,146.2,63.3,6.5,95,56.5,101.5,51.9
"26","TOR","20102011","2010-10-30",0,1,-1,70.8,125.2,63.8,0,95.2,55,95.2,60.9
"27","CHI","20092010","2010-03-03",2,2,0,80.6,103.1,75.5,5.4,80,61.8,85.4,76.2
"28","BOS","20102011","2010-12-20",0,2,-2,68.6,130.8,70,0,89.5,54.3,89.5,61.3
"29","WSH","20092010","2010-03-28",1,4,-3,70.9,127.5,56.2,3.7,78.9,47.3,82.7,71
"30","NYR","20082009","2008-11-04",0,0,0,72.2,125.7,63,0,100,55.3,100,59.3
"31","CAR","20142015","2014-11-16",0,1,-1,68.4,134.2,66.1,0,91.7,58,91.7,73.5
"32","BOS","20112012","2012-02-14",0,1,-1,72.2,110.4,72,0,94.1,44.3,94.1,76.9
"33","BOS","20092010","2010-04-01",0,1,-1,71.3,119,61.9,0,94.7,65.7,94.7,65.4
"34","WSH","20092010","2010-03-25",2,1,1,66.9,154.1,64.8,5.7,95.7,54.3,101.4,52.8
"35","MTL","20102011","2011-01-02",1,3,-2,67.5,132.7,68.3,2.3,83.3,61.1,85.7,65.7
"36","L.A","20142015","2015-04-04",3,1,2,74.4,92,51,11.5,87.5,46.3,99,51.9
"37","L.A","20092010","2010-04-10",2,1,1,73.3,127.9,71.2,5.4,90,69.7,95.4,85
"38","DET","20142015","2014-10-25",2,2,0,75,119.9,84.2,6.2,75,54.5,81.2,76.7
"39","CHI","20112012","2012-01-15",4,3,1,71.4,108,70.4,10.5,85,58,95.5,55.2
"40","CBJ","20132014","2014-03-18",0,2,-2,75.6,114.4,83.3,0,80,56.2,80,69.7
"41","CAR","20132014","2014-01-19",2,4,-2,69.1,138.8,72.2,5.1,81.8,56.4,86.9,71.4
"42","BOS","20142015","2015-03-17",1,0,1,69.1,128.6,64.2,2.9,100,52.4,102.9,61.3
"43","ANA","20132014","2014-01-05",3,1,2,69.8,121.5,75.9,7.3,92.3,44.6,99.6,77.1
"44","WSH","20082009","2009-03-01",1,3,-2,69.5,134.1,60.9,3.6,84.2,54.3,87.8,70.6
"45","T.B","20132014","2014-03-06",0,3,-3,68.5,134.6,69.6,0,84.2,60.4,84.2,65.6
"46","S.J","20132014","2014-03-29",1,1,0,72,123,75,2.8,94.1,56.5,96.9,53.6
"47","S.J","20132014","2013-11-12",1,1,0,71.6,103.1,67.4,3.2,90,60,93.2,71
"48","MIN","20142015","2014-10-09",4,0,4,73.6,115.6,68.4,10.3,100,47.5,110.3,65.4
"49","L.A","20142015","2015-02-12",5,2,3,69.2,129.2,69.8,13.5,84.6,55.8,98.1,53.8
"50","FLA","20132014","2013-10-25",1,2,-1,70.3,114.7,73.2,2.4,88.2,53.1,90.7,85.3
"51","BOS","20132014","2014-04-03",3,3,0,70.3,115.2,62.7,9.4,85,45.1,94.4,75
"52","BOS","20112012","2012-02-19",0,1,-1,66.4,133.8,72.1,0,96.3,47.6,96.3,56.1
"53","WSH","20082009","2009-03-16",1,2,-1,72.7,116.6,74.1,2.5,86.7,38.6,89.2,70.8
"54","VAN","20102011","2011-03-16",3,1,2,68.5,117.7,71.7,7.9,95.5,52.9,103.3,77.1
"55","TOR","20092010","2009-11-23",3,2,1,67.2,160.9,72.4,7.1,87.5,74.4,94.6,69
"56","STL","20112012","2012-02-11",0,1,-1,73.8,99.3,78.3,0,91.7,52.9,91.7,67.7
"57","S.J","20082009","2008-12-06",1,1,0,72.7,111.4,76,2.6,90.9,57.1,93.5,73.9
"58","OTT","20142015","2014-12-29",4,2,2,72.7,119.3,68.2,13.3,88.9,50,102.2,62.5
"59","N.J","20112012","2012-03-29",4,4,0,75.6,90.4,66.7,13.3,75,71.1,88.3,66.7
"60","DET","20142015","2014-12-10",1,1,0,76.3,94.4,73.5,2.8,90.9,63.6,93.7,77.8
"61","DET","20112012","2011-11-05",4,0,4,73.3,112.4,74.5,10.5,100,64,110.5,65.6
"62","DAL","20142015","2015-02-07",1,2,-1,69.6,119.6,69.4,2.9,90,47.3,92.9,78.9
"63","CHI","20132014","2013-12-03",2,2,0,70,124.5,82.7,4.7,86.7,49.1,91.3,69.4
"64","BOS","20122013","2013-03-23",1,3,-2,70,116.7,65.1,3.6,76.9,54,80.5,63.6
"65","TOR","20092010","2010-01-09",0,3,-3,66.1,151,66.7,0,89.7,43.2,89.7,71.4
"66","TOR","20092010","2009-11-21",1,1,0,68.2,135.2,65.4,2.9,94.4,52.5,97.4,65.4
"67","PIT","20092010","2010-03-11",2,2,0,71.9,100.6,66,6.1,88.9,35.8,94.9,64.7
"68","MTL","20142015","2015-02-03",2,3,-1,66.4,134.6,59.2,6.9,83.3,57.9,90.2,66.7
"69","L.A","20142015","2014-12-09",0,0,0,76,91.4,73,0,100,47.2,100,77.8
"70","CGY","20082009","2008-11-18",2,1,1,71.4,128.5,79.2,5.3,94.4,65.1,99.7,76.5
"71","BOS","20112012","2012-02-11",1,2,-1,70.5,118,77.3,2.9,86.7,61.9,89.6,58.3
"72","BOS","20102011","2010-12-30",2,0,2,68.2,141.8,66.7,6.2,100,59.5,106.2,71
"73","WPG","20142015","2015-01-03",4,1,3,73.8,106.7,72.9,11.4,92.3,67.4,103.7,65.5
"74","VAN","20132014","2014-03-23",4,1,3,67.6,122.8,57.4,12.9,93.3,56.2,106.2,60
"75","VAN","20112012","2011-12-01",3,3,0,69,117.5,62.3,9.1,80,55.8,89.1,70.4
"76","S.J","20142015","2015-04-09",2,1,1,64.4,156.6,74.6,4.3,95.8,53.6,100.1,44.2
"77","PHX","20112012","2011-12-10",1,1,0,69,120.3,58.8,3.3,93.8,62.5,97.1,70
"78","OTT","20112012","2011-12-30",3,2,1,68.6,126.6,68.5,8.1,91.3,65.1,99.4,60
"79","NSH","20142015","2015-02-22",0,1,-1,74.4,115.5,71.8,0,91.7,47.4,91.7,64.3
"80","NSH","20142015","2015-01-27",2,2,0,68.3,119.3,69.2,5.6,88.2,46.4,93.8,62.2
"81","NSH","20112012","2012-03-20",2,4,-2,73.8,96.2,77.8,5.7,71.4,46,77.1,70.4
"82","L.A","20132014","2013-10-27",1,0,1,73.8,109.8,81.6,2.5,100,47.9,102.5,82.9
"83","L.A","20122013","2013-02-07",0,2,-2,75,88.4,74.4,0,81.8,47.9,81.8,78.4
"84","DET","20112012","2011-11-17",0,4,-4,67.6,122.6,70,0,81.8,39.1,81.8,58.1
"85","COL","20092010","2010-02-06",2,0,2,69.4,120.2,66.7,6.2,100,43.6,106.2,59.3
"86","CAR","20142015","2015-03-06",1,3,-2,69.8,111.2,78.6,3,83.3,56,86.4,65.8
"87","WSH","20142015","2015-03-07",4,1,3,67.6,126,71.2,10.8,93.3,60,104.1,78.6
"88","WSH","20102011","2010-12-11",1,2,-1,68.3,130.7,73.9,2.9,90,50,92.9,54.3
"89","VAN","20092010","2010-03-23",2,3,-1,69.9,113.3,62.5,6.7,82.4,62.5,89,61.5
"90","STL","20132014","2014-03-25",3,2,1,67.6,124.8,74.6,6.8,89.5,59.2,96.3,64.5
"91","S.J","20122013","2013-03-12",1,3,-2,69.9,115,76.6,2.8,78.6,45.8,81.3,72.2
"92","PIT","20112012","2012-01-17",1,1,0,67,128.3,60.8,3.2,95,39.4,98.2,52.9
"93","PHX","20112012","2012-03-08",2,2,0,67.3,124.2,72.3,5.9,90,61,95.9,72
"94","PHX","20092010","2009-11-23",0,3,-3,69.9,121.9,67.3,0,82.4,46.3,82.4,62.5
"95","NYR","20142015","2015-03-14",1,0,1,74,98.3,59.1,3.8,100,62.5,103.8,58.6
"96","NSH","20142015","2015-04-07",1,3,-2,68.7,122.6,73.3,3,83.3,40,86.4,73.1
"97","NSH","20142015","2014-10-31",2,2,0,64.8,133.9,51.1,8.3,92.6,60.9,100.9,56.1
"98","NSH","20082009","2009-01-06",1,2,-1,69.1,114,47.7,4.8,88.2,52.8,93,68
