"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%"
"1","DET",81,"20082009",170,140,30,57.3,104.1,74.4,8.1,91.4,54.1,99.5,53.4
"2","L.A",82,"20132014",131,103,28,56.8,107.6,68.6,6.6,93.5,53.1,100.1,54.9
"3","CHI",82,"20092010",178,147,31,56.5,103.4,74.2,8.3,90.5,51.9,98.9,55.9
"4","CHI",82,"20132014",182,148,34,55.5,105.6,75.2,8.4,91.5,51.8,99.9,55.4
"5","L.A",82,"20142015",154,126,28,55.3,106.8,69.8,7.6,92.6,51.2,100.2,54.6
"6","CGY",81,"20082009",160,152,8,55.7,108.5,71.5,8.3,91,52,99.3,56.5
"7","WSH",82,"20082009",151,137,14,55,113.2,71.9,7.5,91.9,51.8,99.4,55
"8","DET",82,"20112012",179,122,57,54.9,103.2,73.3,8.7,92.8,51,101.5,57.2
"9","L.A",81,"20112012",117,118,-1,54.7,108.4,69.7,6.1,92.8,51.7,98.9,51.1
"10","CHI",82,"20082009",150,128,22,55.2,98.7,75.2,7.6,92.3,47.2,99.8,56.2
"11","PIT",82,"20112012",187,159,28,54.2,109.8,72.5,8.9,90.8,51,99.8,54.7
"12","BOS",82,"20112012",190,145,45,53.8,111.1,72.3,9,92.4,54.9,101.4,51.6
"13","BOS",82,"20132014",175,111,64,53.8,108.3,72,8.5,94,51.3,102.5,54.4
"14","DET",81,"20092010",136,147,-11,54,107.6,72,6.7,92,51.2,98.7,54
"15","S.J",82,"20132014",161,141,20,53.5,116,70.8,7.5,92.2,52.5,99.7,49.6
"16","S.J",82,"20082009",131,122,9,54.2,102.6,73.1,6.7,92.4,54.4,99.2,54.3
"17","CHI",82,"20142015",150,129,21,53.6,112.2,75.2,6.9,93.5,51.9,100.4,54.8
"18","N.J",82,"20132014",123,134,-11,54.4,90.4,71.4,7.1,91.4,46.7,98.6,53.3
"19","S.J",82,"20102011",153,129,24,53.6,111.8,71.7,7.3,92.9,52.6,100.2,50.3
"20","L.A",48,"20122013",86,79,7,56.3,101.4,69.2,7.6,91.5,52.3,99.1,55.5
"21","DET",82,"20102011",165,163,2,53.2,111.3,71.1,7.9,91.6,51.3,99.5,51.3
"22","DET",82,"20142015",132,126,6,53.5,98.5,72.6,7.3,92.6,52.3,99.9,55
"23","TOR",82,"20092010",151,161,-10,52.9,117.8,70.3,7.4,91.2,51.1,98.6,54
"24","WSH",81,"20092010",205,133,72,52.9,115.9,72.5,10.3,92.9,51.2,103.1,51.9
"25","NYI",82,"20142015",171,158,13,52.8,115.7,72,7.9,91.4,49.7,99.3,52.5
"26","STL",82,"20112012",135,102,33,53.1,105.1,70.7,7,93.9,50.8,100.8,52.2
"27","STL",82,"20132014",156,128,28,53.1,103.9,69.7,8.5,92.2,51.8,100.7,52.6
"28","NSH",82,"20142015",166,126,40,52.8,110.6,72.3,8.1,93.1,49,101.1,51
"29","T.B",82,"20142015",179,137,42,53,105.3,73.3,9.1,91.9,49.4,101,54.4
"30","CHI",82,"20112012",167,166,1,52.9,106,73.4,8.2,90.9,50.4,99.1,54.7
"31","N.J",48,"20122013",63,74,-11,55.9,90.3,70.4,6.3,91.2,48.2,97.5,52.6
"32","CHI",82,"20102011",167,145,22,52.8,106.6,74.3,8,92,50.7,100,54.6
"33","PIT",82,"20142015",146,131,15,52.8,105.6,73.4,7.5,92.5,48.6,100,54.3
"34","VAN",82,"20112012",157,131,26,52.7,108.3,72,8.2,93.1,52.5,101.3,50.3
"35","BOS",48,"20122013",92,74,18,54.3,113.7,71.8,7.3,93.2,56,100.5,49.5
"36","NYR",82,"20082009",124,142,-18,52.7,110.3,71.7,6.4,92,50.9,98.4,56.6
"37","PIT",82,"20102011",144,127,17,52.7,109.1,73,7.5,92.7,50.3,100.2,52.7
"38","OTT",82,"20132014",157,168,-11,52.4,117.7,71,7.5,92.1,51.7,99.5,51
"39","CAR",82,"20142015",126,165,-39,52.4,109.4,71.2,6.2,90.9,52.8,97.1,52.8
"40","BOS",81,"20092010",132,136,-4,52.6,105.2,73.4,6.7,92.6,53.6,99.3,51.1
"41","NYR",82,"20132014",142,131,11,52.4,111.8,73.5,6.7,93.1,48.7,99.7,52.3
"42","OTT",82,"20112012",160,153,7,52.3,114.2,72,8,92.2,50.3,100.1,54.7
"43","WPG",82,"20142015",145,123,22,52.5,105.5,71.4,7.9,92.8,49.1,100.7,51.8
"44","N.J",82,"20082009",148,119,29,52.6,104.2,74.2,7.6,93.3,51.7,100.9,51.2
"45","DAL",82,"20142015",174,170,4,52.2,117.7,68.1,8.8,90.9,51.8,99.7,51
"46","CHI",48,"20122013",107,68,39,54.1,101.3,74.8,9.1,93,50.6,102,54.4
"47","OTT",48,"20122013",74,73,1,53.7,114.9,72,6,93.5,50.5,99.5,54.8
"48","VAN",82,"20102011",162,124,38,52.2,110.6,71.9,8.2,93.3,54.2,101.5,51.5
"49","STL",82,"20102011",161,160,1,52.2,107.3,70.3,8.4,90.9,48.2,99.3,52.5
"50","CAR",82,"20082009",135,136,-1,52,114.8,71.1,6.9,92.3,52.1,99.2,52.5
"51","PIT",81,"20092010",167,155,12,52.1,112.6,72.2,8.6,90.9,48.3,99.5,53.9
"52","DET",48,"20122013",75,67,8,53.6,102.8,71.2,6.7,93.5,48.9,100.2,56.4
"53","N.J",82,"20102011",117,146,-29,52.2,94,74.2,6.3,91.5,50.4,97.7,53.2
"54","S.J",82,"20112012",141,132,9,51.8,114.1,72.7,6.6,92.9,52.7,99.5,51.1
